url_hash,facebook_shares,twitter_shares,source_credibility,misinformation
4,24,18,alternative,1
12,68,154,socialmedia,1
19,0,0,mainstream,2
20,28,9,mainstream,1
27,135,11000,alternative,1
28,36,4,alternative,1
30,335,51,alternative,1
31,11,3,socialmedia,1
39,159,13,alternative,1
42,242,46,alternative,1
43,679,34,alternative,1
44,39000,3,alternative,1
49,73,0,alternative,1
54,649,11000,socialmedia,1
55,71,19,mainstream,2
56,23,7,mainstream,2
57,223,33,mainstream,2
58,85,147,mainstream,2
59,209,11,alternative,1
65,444,58,alternative,1
85,45000,6,alternative,1
193,170,46,mainstream,1
194,35000,97,socialmedia,1
195,365,190,mainstream,2
197,110,1,alternative,1
213,2000,42,mainstream,2
218,302,34,alternative,1
222,12,0,alternative,1
224,12,0,alternative,1
227,2,0,alternative,1
229,4,0,alternative,1
230,3,0,alternative,1
232,46,5,alternative,1
233,1,0,alternative,1
234,1,0,alternative,1
237,1,0,alternative,1
238,35,57,alternative,1
239,3,2,mainstream,2
245,1,31,alternative,1
246,207,160,alternative,1
250,13000,134,alternative,1
251,160,25,alternative,1
252,190,22,alternative,1
253,101,13,alternative,1
254,21000,81,alternative,1
255,126,68,alternative,1
256,124,101,alternative,1
265,232,802,mainstream,2
266,1000,53000,mainstream,2
272,567,43000,mainstream,1
281,0,9,socialmedia,1
285,245,1,alternative,1
292,1,0,mainstream,2
294,3,0,alternative,1
303,95,15,alternative,1
306,1,3,alternative,1
311,214,1,alternative,1
314,66,1,mainstream,2
318,339,87,alternative,1
319,389,57,alternative,1
320,176,18,alternative,1
321,158,37,alternative,1
329,34,0,alternative,1
331,1,1,alternative,1
334,768,32,alternative,1
351,6,8,alternative,1
355,121,9,alternative,1
356,219,0,mainstream,1
360,723,102,alternative,1
361,485,130,alternative,1
367,557,26,alternative,1
369,274,3,alternative,1
374,32,0,alternative,1
383,600,90,socialmedia,1
385,0,0,alternative,1
403,170,21,mainstream,1
464,24,0,mainstream,1
477,15000,306,mainstream,1
480,414,1,mainstream,1
485,470,20,mainstream,1
492,54000,81,mainstream,1
495,113000,144,mainstream,1
567,2,0,mainstream,1
607,159,1,alternative,1
612,69,76000,mainstream,2
613,293,41,alternative,1
621,871,98,alternative,2
625,115000,12000,alternative,1
627,12,6,alternative,1
629,919,58,alternative,1
630,43000,12000,alternative,1
631,38,2,alternative,1
632,24,7,alternative,1
635,78,40,alternative,1
636,0,81,alternative,1
637,0,172,alternative,1
638,0,31,alternative,1
639,122,46,alternative,1
643,328,42,alternative,1
645,449000,17000,alternative,1
646,302,57,alternative,1
652,441000,1,alternative,1
683,812,36,mainstream,1
692,0,15,socialmedia,1
701,68,154,socialmedia,1
714,29000,74,mainstream,1
749,9,0,alternative,1
757,29,1,mainstream,1
761,275000,203,alternative,1
762,20,188,alternative,1
763,64,77,alternative,1
764,601,102,alternative,1
765,77,17,alternative,1
766,58,16,alternative,1
767,25000,37,alternative,1
769,422,522,alternative,1
770,88,40,alternative,1
771,54,50,alternative,1
772,71,45,alternative,1
773,107,38,alternative,1
774,299,136,alternative,1
775,93,13,alternative,1
776,91,34,alternative,1
777,19000,641,alternative,1
778,284,102,alternative,1
779,322,53,alternative,1
780,94,19,alternative,1
781,198,51,alternative,1
782,465,130,alternative,1
785,31,8,alternative,1
787,151,27,alternative,1
788,185,36,alternative,1
789,111,25,alternative,1
790,70,15,alternative,1
791,102,46,alternative,1
792,20,12,alternative,1
799,135,11000,alternative,1
801,19,1,alternative,1
802,12,3,alternative,1
804,136,15,alternative,1
807,37,2,alternative,1
808,41,5,alternative,1
809,66,8,alternative,1
812,66,13,alternative,1
813,117,109,alternative,1
814,845,370,alternative,1
829,253,22,alternative,1
830,116,1,alternative,1
840,37,22,alternative,1
866,221,5,alternative,1
868,30,1,mainstream,2
870,15,16,mainstream,2
876,271,3,alternative,1
878,44,3,alternative,1
900,215,15,alternative,1
906,207,36,alternative,1
908,81,26,alternative,1
909,22,1,alternative,1
911,15000,83,socialmedia,1
948,735,4,alternative,1
949,3000,0,alternative,1
950,137000,32000,alternative,1
951,45,204,alternative,1
954,102,29,mainstream,2
963,26,4,alternative,1
964,119,123,alternative,1
967,85,31,alternative,1
996,20,182,alternative,1
997,72,667,alternative,1
999,107,9,alternative,1
1006,1,1,alternative,1
1027,103,10,alternative,1
1036,5,3,alternative,1
1046,419,304,alternative,1
1047,21,117,alternative,1
1048,819,150,alternative,1
1049,2000,158,alternative,1
1050,42,26,alternative,1
