url_hash,banned_march,banned_april
4394,N,N
4396,N,N
4397,N,N
4398,N,N
4399,N,R
4401,N,N
4402,N,N
4404,N,N
4405,N,N
4406,N,N
4407,N,N
4408,N,N
4409,N,N
4410,N,N
4413,N,R
4414,N,N
4415,N,N
4416,N,N
4420,N,N
4422,N,N
4423,N,N
4425,N,N
4431,N,N
4432,N,N
4434,N,N
4435,N,N
4436,N,N
4437,N,R
4439,N,N
4440,N,N
4441,N,N
4443,N,N
4446,N,N
4447,R,R
4451,N,N
4452,N,N
4454,N,N
4455,N,N
4460,N,N
4461,N,N
4466,N,N
4468,N,N
4469,N,N
4470,N,N
4471,N,N
4472,N,N
4473,N,N
4475,N,N
4477,N,N
4479,N,N
4480,N,N
4481,N,N
4482,N,N
4484,N,N
4485,N,N
4486,N,N
4487,N,N
4488,N,N
4490,N,N
4491,N,N
4494,N,N
4496,N,N
4497,N,N
4500,N,N
4501,N,R
4502,N,N
4503,N,N
4504,N,N
4505,N,N
4507,N,R
4508,N,N
4509,N,N
4510,N,R
4511,N,N
4512,N,N
4513,N,N
4514,N,N
4516,N,N
4517,N,N
4518,N,N
4519,N,N
4520,N,N
4521,N,N
4522,N,N
4523,N,N
4524,N,N
4525,N,N
4530,N,N
4531,N,N
4533,N,N
4535,N,N
4536,N,N
4538,N,R
4539,N,N
4541,N,N
4543,N,N
4545,N,N
4546,N,N
4549,N,N
4552,N,N
4553,N,N
4554,N,N
4555,N,N
4556,N,N
4557,N,N
4558,N,N
4560,N,N
4561,N,N
4562,N,N
4564,N,N
4565,N,R
4566,N,N
4567,N,N
4568,N,N
4569,N,N
4570,N,N
4574,N,N
4575,N,R
4576,N,N
4577,N,N
4578,N,N
4580,N,N
4581,N,N
4582,N,R
4584,N,N
4585,N,N
4586,N,N
4588,N,N
4589,N,N
4590,N,N
4591,R,R
4592,N,N
4593,N,N
4594,N,N
4595,N,N
4596,N,N
4597,N,N
4598,R,R
4602,N,N
4603,N,N
4607,N,N
4608,N,N
4609,N,N
4610,N,N
4611,N,N
4612,N,N
4613,N,N
4614,R,R
4616,N,N
4617,N,N
4618,N,N
4622,N,N
4623,N,N
4624,N,N
4625,N,N
4628,N,N
4631,N,N
4632,N,N
4639,N,R
4640,N,N
4643,N,N
4644,N,N
4647,N,N
4649,N,R
4650,N,N
4653,N,N
4654,N,N
4655,N,N
4657,N,N
4663,N,N
4664,N,N
4665,N,N
4666,N,N
4669,N,R
4670,R,R
4671,N,N
4673,N,N
4674,N,N
4675,N,N
4676,N,R
4682,N,N
4683,N,N
4686,N,R
4692,N,N
4693,N,N
4695,N,N
4701,N,N
4703,N,N
4707,N,N
4711,N,N
4713,N,N
4714,N,N
4715,N,N
4716,N,N
4717,N,N
4719,N,N
4725,N,N
4726,N,N
4729,N,R
4736,N,N
4737,N,N
4738,N,N
4739,N,N
4741,N,N
4742,N,N
4743,N,N
4744,N,N
4745,N,R
4746,N,N
4749,F,F
4750,N,N
4751,N,N
4752,N,N
4754,N,N
4756,N,N
4757,N,N
4759,N,N
4763,N,N
4766,N,N
4767,N,N
4769,N,N
4770,N,N
4771,N,N
4774,N,N
4775,N,N
4777,N,N
4778,N,N
4779,N,N
4781,N,N
4783,N,N
4786,N,N
4787,N,N
4788,N,N
4797,N,N
4799,N,N
4800,N,N
4802,N,N
4813,N,N
4819,N,N
4821,N,N
4824,N,R
4825,N,N
4826,N,N
4830,N,N
4834,N,N
4838,N,N
4841,N,N
4844,N,N
4845,N,N
4847,N,N
4848,N,N
4849,N,N
4850,N,N
4855,N,N
4856,N,N
4860,N,N
4861,N,N
4864,R,R
4865,N,N
4868,N,N
4869,N,N
4870,N,N
4876,N,N
4880,N,N
4886,N,N
4887,N,N
4888,N,N
4889,N,N
4895,N,N
4897,N,N
4898,R,R
4899,N,N
4901,N,N
4903,N,N
4906,N,N
4908,N,N
4909,N,N
4910,N,N
4916,N,N
4919,N,N
4921,N,N
4926,N,N
4927,N,N
4930,N,N
4932,N,N
4933,N,N
4934,N,N
4935,N,N
4936,N,N
4939,R,R
4941,N,N
4947,N,N
4949,N,N
4951,N,N
4952,N,N
4955,N,N
4956,N,N
4957,N,N
4960,N,N
4961,N,N
4963,N,N
4964,N,N
4966,N,N
4967,N,N
4973,N,N
4976,N,N
4978,N,N
4979,N,N
4983,N,N
4989,N,N
4991,N,N
4994,N,N
4997,N,N
5002,N,N
5003,N,N
5005,N,N
5007,F,F
5009,N,N
5010,N,N
5013,N,N
5019,N,N
5020,N,N
5021,N,N
5024,N,N
5025,N,N
5028,N,N
5030,N,N
5031,N,N
5033,N,N
5041,N,N
5042,N,N
5046,N,N
5047,N,R
5048,R,R
5050,N,N
5051,N,N
5054,N,N
5057,F,F
5059,N,N
5060,N,N
5066,N,N
5068,N,N
5073,N,N
5075,N,N
5076,N,N
5077,N,N
5078,N,N
5079,N,N
5082,N,N
5089,N,N
5091,N,N
5092,N,N
5095,N,N
5098,N,N
5101,N,N
5104,N,N
5110,N,N
5112,N,N
5114,N,N
5119,N,N
5121,N,N
5122,N,N
5123,N,N
5128,N,N
5140,N,N
5141,F,F
5142,N,N
5149,N,N
5150,N,N
5152,N,N
5153,N,N
5154,N,N
5155,N,N
5158,N,N
5167,N,N
5168,N,N
5169,N,N
5170,N,N
5171,N,N
5172,N,N
5173,N,N
5174,N,N
5175,N,N
5176,N,N
5177,N,N
5178,N,N
5179,N,N
5182,N,N
5183,N,N
5184,N,N
5186,N,N
5190,N,N
5191,N,N
5192,N,N
5193,N,N
5194,N,N
5196,N,N
5198,N,N
5201,N,N
5202,N,N
5203,N,N
5204,N,N
5206,N,N
5207,N,N
5212,N,N
5213,N,N
5216,N,N
5217,N,N
5223,N,N
5225,N,N
5227,N,N
5228,N,N
5229,N,N
5232,F,F
5235,N,N
5239,N,N
5245,N,N
5249,N,N
5251,N,N
5255,N,N
5256,N,N
5259,N,N
5261,N,N
5262,N,N
5263,N,N
5275,N,N
5278,N,N
5279,N,N
5286,N,N
5287,N,N
5288,N,N
5290,N,N
5294,N,N
5295,N,N
5297,N,N
5298,N,N
5299,N,N
5303,N,N
5304,F,F
5305,N,N
5307,F,F
5311,N,N
5313,N,N
5314,N,N
5315,N,N
5316,N,N
5318,N,N
5323,N,N
5324,N,N
5338,N,N
5341,N,N
5342,N,N
5343,N,N
5344,N,N
5346,N,N
5347,N,N
5353,N,N
5354,N,N
5356,N,N
5362,N,N
5364,F,F
5365,N,N
5366,N,N
5367,N,N
5370,N,N
5372,N,N
5373,N,N
5374,N,N
5375,N,N
5376,N,N
5377,N,N
5380,N,N
5386,N,N
5390,N,N
5393,N,N
5401,N,N
5408,N,N
5412,N,N
5417,N,N
5418,N,N
5419,N,N
5422,N,N
5423,N,N
5425,F,F
5426,N,N
5427,N,N
5428,N,N
5429,N,N
5430,N,N
5437,N,N
5445,F,F
5450,N,N
5451,N,N
5454,N,N
5455,N,N
5456,N,N
5457,N,N
5463,N,N
5464,N,N
5467,N,N
5470,N,N
5471,N,N
5472,N,N
5473,N,N
5474,N,N
5475,N,N
5476,N,N
5477,N,N
5479,N,N
5485,N,N
5490,N,N
5494,N,R
5495,N,N
5498,N,N
5499,N,N
5502,F,F
5504,N,N
5505,N,N
5506,N,N
5508,N,N
5509,N,N
5512,N,N
5515,N,N
5516,N,N
5518,N,N
5521,N,N
5522,N,N
5525,N,N
5528,N,N
5534,N,N
5537,N,N
5539,N,N
5543,N,N
5544,N,N
5545,N,N
5549,N,N
5550,N,N
5551,N,N
5552,N,N
5553,N,N
5554,N,N
5555,N,N
5556,N,N
5557,N,N
5558,N,N
5559,N,N
5562,N,N
5567,N,N
5569,N,R
5571,N,N
5573,N,N
5576,N,N
5590,N,N
5592,N,N
5620,N,N
5621,N,N
5622,N,N
5623,N,N
5624,N,N
5626,N,N
5629,N,N
5630,N,N
5634,N,N
5642,N,R
5645,N,N
5646,N,N
5648,N,N
5649,N,N
5652,N,N
5654,N,N
5655,N,N
5656,N,N
5657,N,N
5659,N,N
5665,N,N
5667,N,N
5670,N,N
5671,N,F
5674,N,R
5679,N,N
5683,N,N
5688,N,N
5689,N,N
5693,N,N
5696,N,N
5700,N,N
5705,N,N
5706,N,N
5707,N,N
5709,N,N
5714,N,N
5724,N,N
5725,N,N
5726,N,N
5736,N,N
5737,N,N
5738,N,N
5739,N,N
5740,N,N
5743,F,F
5747,N,N
5748,N,N
5750,N,N
5767,N,N
5768,N,N
5775,N,R
5777,N,N
5778,N,N
5781,N,N
5782,N,N
5783,N,N
5784,N,N
5788,N,N
