url_hash,banned_march,banned_april
1932.0,N,R
1933.0,N,N
1939.0,N,R
1940.0,N,R
1941.0,N,R
1945.0,N,N
2752.0,N,N
2756.0,R,R
2757.0,N,R
2768.0,R,R
2770.0,N,N
2775.0,N,R
2779.0,N,R
2781.0,N,N
2786.0,N,R
2787.0,R,N
2788.0,R,R
2790.0,R,R
2799.0,N,R
2802.0,N,R
2808.0,N,N
2813.0,R,R
2814.0,N,R
2815.0,N,R
2817.0,N,N
2820.0,N,N
2821.0,N,N
2823.0,N,N
2825.0,R,N
2826.0,R,R
2828.0,N,R
2839.0,N,R
2848.0,N,N
2853.0,N,N
2854.0,N,N
2859.0,N,N
2860.0,N,R
2863.0,R,R
2865.0,N,R
2868.0,N,N
2877.0,N,N
2878.0,N,R
2879.0,N,R
2881.0,R,R
2884.0,R,N
2891.0,R,N
2892.0,N,R
2894.0,N,R
2901.0,N,R
2902.0,N,R
2903.0,N,N
2904.0,N,R
2905.0,N,R
2906.0,R,R
2914.0,N,N
2915.0,N,N
2916.0,N,N
2922.0,N,N
2926.0,N,N
2931.0,N,R
2934.0,N,N
2936.0,N,R
2940.0,N,R
2943.0,N,R
2946.0,N,N
2947.0,N,N
2965.0,N,N
2972.0,N,R
2975.0,N,N
2976.0,N,N
2977.0,N,N
2978.0,N,R
2992.0,N,N
2993.0,N,R
2994.0,N,R
2997.0,N,N
2998.0,N,R
2999.0,N,R
3006.0,N,R
3009.0,R,N
3010.0,N,N
3011.0,N,N
3012.0,N,R
3016.0,N,N
3017.0,R,R
3018.0,R,R
3019.0,R,N
3021.0,R,N
3022.0,R,R
3023.0,R,R
3026.0,N,N
3031.0,N,N
3033.0,N,R
3039.0,N,N
3041.0,N,N
3047.0,N,N
3054.0,N,R
3059.0,N,R
3060.0,N,N
3063.0,N,R
3065.0,N,N
3071.0,N,R
3074.0,N,N
3077.0,N,N
3080.0,N,R
3081.0,N,N
3084.0,N,R
3085.0,N,R
3091.0,R,N
3092.0,N,N
3096.0,N,R
3105.0,N,N
3106.0,N,N
3115.0,N,R
3117.0,N,R
3121.0,N,N
3125.0,N,R
3126.0,N,R
3139.0,N,R
3144.0,N,N
3145.0,R,R
3159.0,R,N
3161.0,N,R
3163.0,N,R
3167.0,R,R
3169.0,R,R
3179.0,N,R
3198.0,R,R
3212.0,R,R
3219.0,N,N
3225.0,N,R
3226.0,N,N
3232.0,N,R
3233.0,N,N
3248.0,N,N
3249.0,N,N
3258.0,N,R
3262.0,N,R
3269.0,R,R
3276.0,N,N
3284.0,N,
3286.0,N,
3292.0,N,N
3299.0,N,R
3300.0,N,N
3310.0,R,N
3314.0,R,R
3318.0,N,R
3322.0,R,R
3323.0,N,R
3328.0,N,N
3329.0,N,N
3332.0,N,N
3349.0,N,N
3360.0,N,N
3361.0,N,N
3362.0,R,R
3367.0,N,N
3373.0,N,R
3376.0,N,R
3377.0,N,R
3388.0,N,N
3390.0,R,N
3396.0,R,R
3403.0,N,N
3407.0,N,N
3411.0,N,N
3413.0,N,R
3421.0,N,N
3422.0,R,N
3434.0,N,N
3435.0,N,R
