url_hash,channel,banned_march,banned_april
10127,the hidden wiki key,N,N
10129,David Zublick Channel,N,N
10131,Truth Matrix,N,N
10132,GEOPOLITICS UPDATE,N,N
10133,SuspectSky,N,N
10135,Lisa Haven,N,N
10149,Jeff J. Brown,N,N
10153,Christian Barcellano,N,N
10154,The Next News Network,N,R
10155,Dialysis Atbp,N,N
10159,Tech OverWatch,N,N
10160,Law of Liberty,N,N
10162,Sarah Westall,N,N
10167,Rachel Celler  RN,R,R
10170,Truth Media,N,N
10171,Travel with Soudip,N,N
10173,MyNation,N,N
10174,Seek Truth,N,N
10175,ANTHONY STEELE,N,N
10176,Martin Noakes,N,N
10180,Father's Heart International Ministries,N,N
10182,Andoks Shitposting,N,R
10183,Helen of Destroy,N,N
10185,Prophecy Club,N,R
10186,Newstaglive TV,N,N
10187,Casper's Cave,N,N
10188,Helen of Destroy,N,N
10192,PublicEnquiry,N,N
10197,Jason Liosatos Outside The Box,N,N
10198,Edge of Wonder,N,N
10200,Logos Crescendo,N,N
10209,News Today History Tomorrow,N,R
10211,Simulation,N,N
10213,ANTHONY STEELE,N,N
10216,James Red Pills America,N,N
10217,Prophet X,N,N
10218,FYNTV FetchYourNews,N,N
10220,World Today,N,N
10223,Cielos Tóxicos Geoingeniería Sobre Latinoamérica,N,N
10225,,R,R
10226,John le Bon,N,N
10232,The Viral Vox,N,N
10235,Nelson Walters,N,N
10241,atomy China,N,N
10243,Don't Speak,N,N
10248,X22Report,N,N
10249,Jej Krave,N,N
10253,HumanSayNo,N,N
10254,Q News Corner,N,N
10258,Cosmic Agency,N,R
10261,,R,R
10262,Bible Prophecy New World Order Agenda Exposed,N,R
10263,,R,R
10267,Baked Blunts,N,R
10268,17 Chosen,N,N
10269,ANTHONY STEELE,N,N
10272,PAPSIE TV,N,N
10273,liabilitymate,N,N
10278,ANTHONY STEELE,N,N
10286,ANTHONY STEELE,N,N
10290,Klagemauer TV - English,N,N
10293,,R,R
10294,The Last American Vagabond,N,N
10296,Best Damn Podcast,N,N
10298,defango,N,R
10300,Spiro Skouras,N,N
10302,The Word  the Sign and the Sword,N,N
10304,Spookymink Underground,N,N
10307,Uyghur Man,N,N
10308,Spiro Skouras,N,N
10309,COMMS Partisan,N,N
10312,George Webb,N,R
10314,RonPaulLibertyReport,N,N
10315,,R,R
10317,ThisWeekInFascism,N,R
10323,Danji ASMR,N,N
10324,GEBLOGD,N,N
10326,Mudfossil University,N,N
10328,Child Of God,N,N
10330,You Are Free TV,N,N
10331,AND Magazine,N,N
10332,BBS {{BAYATHTHAM BROADCAST SERVICES}},N,N
10334,AfriSynergyNews,N,N
10335,Carding Sungkit TV,N,N
10336,McDuff: Kennedy's Man to Smash the CIA,N,N
10338,Quacy Enoe,N,N
10340,The Last American Vagabond,N,N
10345,Jason Liosatos Outside The Box,N,N
10347,Glidden Healthcare,N,N
10349,The Last American Vagabond,N,N
10350,The Last American Vagabond,N,N
10353,craft 556,N,N
10354,,R,R
10355,Alfred Lambremont Webre,N,N
10360,ANTHONY STEELE,N,N
10362,Rosie Queen,N,N
10365,Secret Anonymous Idea,N,N
10368,Gina Harrison,N,N
10369,David Zublick Channel,N,N
10372,Deleted_C,N,N
10374,Brave TV,N,N
10375,ANTHONY STEELE,N,N
10378,JustInformed Talk,N,N
10380,Sarah Armide,N,N
10381,,R,R
10384,Rock Harbor Church Prophecy Update,N,R
10388,Leeland Jones,N,N
10389,Peekay Censored,N,R
10391,TM Films,N,N
10392,2 891 509 Views,N,R
10393,David Zublick Channel,N,N
10395,IamStanhope,N,N
10397,Golden Anonymous,N,N
10404,King of Glory Ministries,N,R
10405,DrossRotzank,N,N
10411,Francis Emely Crespo,N,N
10412,BibleNewsProphecy,N,N
10413,ANTHONY STEELE,N,R
10416,Sol Adoni,N,N
10418,Nicholson1968,N,N
10419,Paul Cottrell,N,N
10421,CONSERVATIVE VIEWS,N,R
10422,adriennefloreen,N,R
10423,Sarah Westall,N,N
10425,INFO-National WAR-Front,N,N
10426,The Ministry of Truth KMK,N,N
10427,Behold Israel,N,N
10428,GRAB maths,N,N
10430,Lisa Haven,N,N
10431,Danny Tommo,N,N
10433,EmZ B*tch Tv,N,R
10434,,R,R
10435,,R,R
10437,Filipino Future,N,N
10438,ANTHONY STEELE,N,N
10441,Based and beautiful,N,N
10442,,R,R
10443,One Concerned American,N,N
10447,FrontRow Brian,N,R
10449,,R,R
10450,Amanda Ellis,N,N
10456,C. Ervana,N,N
10460,thedeadgene,N,R
10461,Loving Life 2020,N,N
10463,George Webb,N,R
10464,Saltybull,N,N
10469,Truthiracy3,N,N
10470,Nicholson1968,N,N
10474,0007horseman,N,N
10478,The Last American Vagabond,N,N
10479,Inconvenient Truths by Jennifer Zeng曾錚真言,N,N
10482,Age Of Truth TV,N,N
10484,laborvideo,N,N
10489,MEMRI TV Videos,N,R
10492,ANTHONY STEELE,N,N
10496,What a Shocker!,N,R
10498,Sarah Westall,N,N
10500,U.S. Military Defense,N,N
10502,aplanetruth 4u,N,N
10503,ABN TV,N,N
10507,LONNELHARRISLIVE 2,N,N
10509,The Last American Vagabond,N,N
10510,Truth Sentinel2,N,N
10512,Trend,N,N
10514,Soldiers For Christ Community Church,N,N
10518,Noble Heresy,N,N
10524,Amazing Discoveries Africa,N,N
10525,Inconvenient Truths by Jennifer Zeng曾錚真言,N,N
10529,Michael Salla,N,N
10539,Super Soldier Talk,N,N
10543,laowhy86,N,N
10544,Best Damn Podcast,N,N
10545,Baked Blunts,N,R
10546,Sol Adoni,N,N
10548,The Real K-Rino,N,N
10549,Amanda True Crime,N,R
10551,FrontRow Brian,N,R
10558,ANTHONY STEELE,N,N
10561,Spiro Skouras,N,N
10571,SANETER STUDIOS,N,N
10578,Seho Song,N,N
10579,Baked Blunts,N,R
10580,Stefan Molyneux,N,N
10581,Global Agenda,N,N
10585,עבד השם,N,N
10587,Baked Blunts,N,R
10588,Liliane,N,N
10596,Oppenheimer Ranch Project,N,N
10597,HighImpactVlogs,N,N
10599,reesebilly,N,R
10602,REAL TALK,N,N
10604,Faded Polo,N,N
10606,The Last American Vagabond,N,R
10607,The HighWire with Del Bigtree,N,N
10610,Don't Speak,N,N
10611,Cory Resilient,N,N
10614,A SIMULATED REALITY,N,N
10616,Operation Roberto,N,N
10625,Judge Larry Britt,N,N
10626,Fall Cabal,R,R
10629,Autumn Targeted in NZ,N,R
